2000032, 7026342, 4493658, 2627110 
2000061, 7500293, 4019707, 2599448 
2000092, 7684313, 3835687, 2607536 
2000122, 7662690, 3857310, 2609224 
2000153, 6805433, 4714567, 2609290 
2000183, 5923172, 5596828, 2610014 
2000214, 4918718, 6601282, 2609284 
2000245, 6011628, 5508372, 2598687 
2000275, 6311207, 5208793, 2599112 
2000306, 6505633, 5014367, 2608152 
2000336, 6762249, 4757751, 2591807 
2001001, 7093004, 4426996, 2593147 
2001032, 7065756, 4454244, 2593296 
2001060, 7382436, 4137564, 2597212 
2001091, 7184205, 4335795, 2601652 
2001121, 7388367, 4131633, 2603485 
2001152, 6631679, 4888321, 2603390 
2001182, 5813866, 5706134, 2610435 
2001213, 5138950, 6381050, 2610623 
2001244, 6527260, 4992740, 2598529 
2001274, 7110489, 4409511, 2606769 
2001305, 6260445, 5259555, 2613430 
2001335, 7306178, 4213822, 2606971 
2002001, 7292943, 4227057, 2594713 
2002032, 7495552, 4024448, 2592392 
2002060, 7060189, 4459811, 2590328 
2002091, 7347963, 4172037, 2588970 
2002121, 7990464, 3529536, 2602739 
2002152, 7173276, 4346724, 2607345 
2002182, 5875525, 5644475, 2605698 
2002213, 5305560, 6214440, 2604102 
2002244, 6830557, 4689443, 2602730 
2002274, 5737135, 5782865, 2603473 
2002305, 6529580, 4990420, 2604958 
2002335, 7192342, 4327658, 2593426 
2003001, 7229539, 4290461, 2604022 
2003032, 7636166, 3883834, 3068868 
2003060, 7263216, 4256784, 2591802 
2003091, 7373165, 4146835, 2588925 
2003121, 7152295, 4367705, 2594033 
2003152, 6347564, 5172436, 2597357 
2003182, 5315459, 6204541, 2609561 
2003213, 4990428, 6529572, 2600720 
2003244, 5763488, 5756512, 2596965 
2003274, 6446190, 5073810, 2609614 
2003305, 6832592, 4687408, 2609636 
2003335, 7332630, 4187370, 2599058 
2004001, 7389811, 4130189, 2603946 
2004032, 7817498, 3702502, 2592855 
2004061, 6878459, 4641541, 2577210 
2004092, 7328922, 4191078, 2582880 
2004122, 6695489, 4824511, 2596942 
2004153, 5554958, 5965042, 2605843 
2004183, 5790489, 5729511, 2608678 
2004214, 5552204, 5967796, 2606444 
2004245, 6557895, 4962105, 2598644 
2004275, 6778389, 4741611, 2596388 
2004306, 7028046, 4491954, 2598995 
2004336, 6995622, 4524378, 2589235 
2005001, 7793483, 3726517, 2601548 
2005032, 7802203, 3717797, 2588924 
2005060, 7656621, 3863379, 2588473 
2005091, 7275595, 4244405, 2585973 
2005121, 7547007, 3972993, 2590222 
2005152, 6282283, 5237717, 2599578 
2005182, 5976337, 5543663, 2605787 
2005213, 5365303, 6154697, 2600500 
2005244, 6110468, 5409532, 2598436 
2005274, 6224645, 5295355, 2598487 
2005305, 7225566, 4294434, 2608034 
2005335, 7407226, 4112774, 2601828 
2006001, 7656175, 3863825, 2602853 
2006032, 7795051, 3724949, 2598052 
2006060, 7480453, 4039547, 2586832 
2006091, 7530532, 3989468, 2585640 
2006121, 7393648, 4126352, 2592997 
2006152, 7696103, 3823897, 2601185 
2006182, 5861300, 5658700, 2605694 
2006213, 5152068, 6367932, 2604450 
2006244, 5576658, 5943342, 2598503 
2006274, 6729349, 4790651, 2607566 
2006305, 5649005, 5870995, 2587027 
2006335, 6599276, 4920724, 2577938 
2007001, 7509583, 4010417, 2601888 
2007032, 7619101, 3900899, 2587683 
2007060, 7736244, 3783756, 2592961 
2007091, 7552827, 3967173, 2587711 
2007121, 7460640, 4059360, 2597745 
2007152, 6966366, 4553634, 2600303 
2007182, 5319412, 6200588, 2600847 
2007213, 5417691, 6102309, 2579119 
2007244, 6017630, 5502370, 2579493 
2007274, 6321850, 5198150, 2605385 
2007305, 6307093, 5212907, 2605852 
2007335, 6955559, 4564441, 2595288 
2008001, 7241265, 4278735, 2595433 
2008032, 7986572, 3533428, 2575967 
2008061, 7263182, 4256818, 2580124 
2008092, 7039528, 4480472, 2588476 
2008122, 7556131, 3963869, 2594114 
2008153, 7128895, 4391105, 2598176 
2008183, 6077136, 5442864, 2600768 
2008214, 5001867, 6518133, 2598562 
2008245, 6246976, 5273024, 2593914 
2008275, 7148814, 4371186, 2589537 
2008306, 6758558, 4761442, 2602145 
2008336, 7271086, 4248914, 2594734 
2009001, 8180702, 3339298, 2599074 
2009032, 7754229, 3765771, 2589919 
2009060, 7441613, 4078387, 2592381 
2009091, 7721007, 3798993, 2590600 
2009121, 7848976, 3671024, 2592660 
2009152, 6883080, 4636920, 2601107 
2009182, 5796395, 5723605, 2602839 
2009213, 5025150, 6494850, 2593875 
2009244, 6713472, 4806528, 2578586 
2009274, 6164675, 5355325, 2604172 
2009305, 6927773, 4592227, 2599827 
2009335, 7037707, 4482293, 2591254 
2010001, 7003065, 4516935, 2600923 
2010032, 7761177, 3758823, 2581540 
2010060, 7774007, 3745993, 2579478 
2010091, 7637838, 3882162, 2582129 
2010121, 7622771, 3897229, 2592483 
2010152, 7010302, 4509698, 2591448 
2010182, 5385904, 6134096, 2595280 
2010213, 5181304, 6338696, 2597871 
2010244, 6692949, 4827051, 2587057 
2010274, 6477301, 5042699, 2596683 
2010305, 6731741, 4788259, 2602350 
2010335, 7946096, 3573904, 2596132 
2011001, 7498351, 4021649, 2596077 
2011032, 7818704, 3701296, 2590577 
2011060, 7957099, 3562901, 2585962 
2011091, 7359945, 4160055, 2587499 
2011121, 7040936, 4479064, 2587443 
2011152, 6078818, 5441182, 2595489 
2011182, 5721172, 5798828, 2596731 
2011213, 4655372, 6864628, 2590109 
2011244, 5970356, 5549644, 2580248 
2011274, 6380157, 5139843, 2596506 
2011305, 5868634, 5651366, 2593979 
2011335, 6495173, 5024827, 2588821 
2012001, 6940686, 4579314, 2597254 
2012032, 7241489, 4278511, 2587909 
2012061, 7725151, 3794849, 2587696 
2012092, 7386284, 4133716, 2586862 
2012122, 7308052, 4211948, 2592195 
2012153, 6129394, 5390606, 2593807 
2012183, 4978393, 6541607, 2594616 
2012214, 4957034, 6562966, 2586686 
2012245, 5392818, 6127182, 2571835 
2012275, 6350169, 5169831, 2580074 
2012306, 6905071, 4614929, 2598862 
2012336, 7079525, 4440475, 2589160 
2013001, 7153302, 4366698, 2557158 
2013032, 7736904, 3783096, 2586063 
2013060, 7142571, 4377429, 2574778 
2013091, 7392248, 4127752, 2578280 
2013121, 7498806, 4021194, 2589606 
2013152, 5625988, 5894012, 2595940 
2013182, 4612515, 6907485, 2596655 
2013213, 4881203, 6638797, 2593694 
2013244, 6084280, 5435720, 2584734 
2013274, 6566485, 4953515, 2598711 
2013305, 6684463, 4835537, 2601505 
2013335, 7085250, 4434750, 2589916 
2014001, 6855368, 4664632, 2591987 
2014032, 7442928, 4077072, 2562808 
2014060, 7469874, 4050126, 2572032 
2014091, 7062865, 4457135, 2582908 
2014121, 7444332, 4075668, 2588870 
2014152, 6788767, 4731233, 2596030 
2014182, 5016860, 6503140, 2598326 
2014213, 4843437, 6676563, 2587437 
2014244, 5502573, 6017427, 2578188 
2014274, 6173728, 5346272, 2589285 
2014305, 6862675, 4657325, 2595987 
2014335, 6735726, 4784274, 2588360 
2015001, 7199601, 4320399, 2592398 
2015032, 7481562, 4038438, 2582843 
2015060, 7592426, 3927574, 2568011 
2015091, 7117961, 4402039, 2568956 
2015121, 7463579, 4056421, 2586933 
2015152, 5587133, 5932867, 2568026 
2015182, 5382056, 6137944, 2593874 
2015213, 5101074, 6418926, 2584005 
2015244, 5441598, 6078402, 2584082 
2015274, 4973132, 6546868, 2569027 
2015305, 6258553, 5261447, 2580368 
2015335, 6570138, 4949862, 2586631 
2016001, 6935584, 4584416, 2595168 
2016032, 6278144, 5241856, 2585633 
2016061, 6836190, 4683810, 2581482 
2016092, 7014623, 4505377, 2577759 
2016122, 7308859, 4211141, 2588636 
2016153, 6880623, 4639377, 2596551 
2016183, 5432679, 6087321, 2596672 
2016214, 4952264, 6567736, 2597255 
2016245, 6151165, 5368835, 2584676 
2016275, 7115486, 4404514, 2585034 
2016306, 7140709, 4379291, 2591649 
2016336, 7361625, 4158375, 2587831 
2017001, 7479050, 4040950, 2599080 
2017032, 7460740, 4059260, 2567110 
2017060, 7627654, 3892346, 2567772 
2017091, 7281112, 4238888, 2573372 
2017121, 7466886, 4053114, 2588032 
2017152, 6175828, 5344172, 2590870 
2017182, 5185826, 6334174, 2589324 
2017213, 4931385, 6588615, 2580913 
2017244, 6038223, 5481777, 2557468 
2017274, 6215925, 5304075, 2570487 
2017305, 6614397, 4905603, 2571831 
2017335, 6738742, 4781258, 2567694 
2018001, 6825916, 4694084, 2579258 
2018032, 7043314, 4476686, 2566370 
2018060, 7385107, 4134893, 2529725 
2018091, 7019374, 4500626, 2542537 
2018121, 7121637, 4398363, 2563307 
2018152, 7033275, 4486725, 2557308 
2018182, 5512986, 6007014, 2566494 
2018213, 5217612, 6302388, 2577058 
2018244, 6427443, 5092557, 2558953 
2018274, 7194537, 4325463, 2556102 
2018305, 7150435, 4369565, 2571885 
2018335, 7236844, 4283156, 2559607 
2019001, 7131738, 4388262, 2567736 
2019032, 7132568, 4387432, 2566280 
2019060, 8158217, 3361783, 2905946 
2019091, 7624257, 3895743, 2562352 
2019121, 7048402, 4471598, 2554805 
2019152, 5248158, 6271842, 2546355 
2019182, 5393065, 6126935, 2567414 
2019213, 4649588, 6870412, 2569234 
2019244, 5352106, 6167894, 2530127 
2019274, 4971056, 6548944, 2550595 
2019305, 6828309, 4691691, 2546740 
2019335, 6401628, 5118372, 2550491 
2020001, 7566323, 3953677, 2574931 
2020032, 7353440, 4166560, 2557025 
2020061, 6993476, 4526524, 2558152 
2020092, 7153302, 4366698, 2558369 
2020122, 7293169, 4226831, 2552327 
2020153, 6318444, 5201556, 2548320 
2020183, 4582772, 6937228, 2569989 
2020214, 4040201, 7479799, 2568005 
2020245, 4998692, 6521308, 2541936 
2020275, 6130118, 5389882, 2547561 
2020306, 6449430, 5070570, 2558883 
2020336, 6660851, 4859149, 2559158 
